,r_s,r_v,t,t_cs
v21-1,1697,11,14,142
t21-1,264,48,414,-
v21-2,1452,28,156,-
t21-2,157,157,137,-
v21-3,50,1,275,-
t21-7,3643,4,354,-
v21-4,167,1,45,69
t21-3,2478,10,93,298
t21-4,4484,31,152,-
v21-5,-,29,35,45
t21-5,-,63,359,-
v21-6,-,81,233,-
v21-7,3,1,190,205
v21-8,47,1,48,53
v21-9,10,10,44,64
v21-10,3520,61,13,-
v21-11,10,1,189,236
v21-12,-,1,20,33
v21-13,-,53,221,230
v21-14,4370,5,47,107
v21-15,-,3,99,128
v21-16,408,29,69,166
v21-17,10,10,256,-
v21-18,-,3,35,114
v21-19,304,2,19,65
v21-20,-,111,97,-
v21-21,8819,5,83,192
